41340911,A ma table (Original version),Dj Vielo,null,real Family,2017-05-12,https://api.deezer.com/album/41340911/tracks
182399392,Driftin',D-Loo,https://e-cdns-images.dzcdn.net/images/artist/7c92f4d57ae16865003eed59750104d9/500x500-000000-80-0-0.jpg,Ace Movement Crew,2020-10-30,https://api.deezer.com/album/182399392/tracks
182399392,Driftin',D-Loo,https://e-cdns-images.dzcdn.net/images/artist/7c92f4d57ae16865003eed59750104d9/500x500-000000-80-0-0.jpg,Ace Movement Crew,2020-10-30,https://api.deezer.com/album/182399392/tracks
